iter	Passed	Remaining
0	156	156372
1	160	80293
2	164	54788
3	169	42148
4	173	34433
5	176	29313
6	181	25701
7	184	22851
8	186	20525
9	187	18575
10	189	17019
11	190	15716
12	192	14631
13	194	13707
14	196	12881
15	197	12150
16	199	11512
17	200	10916
18	201	10386
19	202	9912
20	203	9478
21	204	9091
22	205	8734
23	206	8398
24	207	8087
25	208	7820
26	212	7652
27	213	7413
28	214	7180
29	215	6961
30	216	6755
31	216	6561
32	217	6377
33	218	6205
34	219	6046
35	220	5892
36	220	5749
37	221	5614
38	223	5499
39	224	5385
40	226	5309
41	227	5198
42	228	5093
43	230	5001
44	231	4908
45	232	4815
46	233	4727
47	234	4645
48	235	4568
49	236	4500
50	237	4427
51	239	4372
52	242	4338
53	243	4273
54	244	4207
55	245	4141
56	246	4078
57	247	4021
58	248	3963
59	249	3906
60	250	3850
61	250	3796
62	251	3745
63	252	3695
64	254	3663
65	256	3635
66	258	3593
67	258	3548
68	259	3505
69	260	3462
70	261	3420
71	262	3381
72	263	3342
73	263	3303
74	264	3266
75	266	3237
76	267	3203
77	269	3181
78	270	3158
79	271	3127
80	273	3098
81	274	3068
82	275	3040
83	276	3010
84	276	2979
85	277	2950
86	278	2921
87	279	2895
88	280	2866
89	281	2842
90	282	2824
91	285	2815
92	286	2793
93	287	2767
94	287	2742
95	288	2718
96	289	2694
97	290	2671
98	291	2648
99	291	2627
100	292	2605
101	293	2584
102	294	2564
103	295	2545
104	296	2526
105	298	2519
106	300	2506
107	301	2486
108	301	2467
109	302	2448
110	303	2430
111	304	2412
112	305	2394
113	305	2376
114	306	2358
115	307	2341
116	308	2326
117	309	2311
118	310	2296
119	311	2282
120	312	2269
121	314	2259
122	314	2245
123	315	2230
124	316	2216
125	317	2201
126	318	2186
127	318	2172
128	319	2158
129	320	2144
130	321	2131
131	322	2117
132	322	2105
133	323	2092
134	324	2080
135	325	2070
136	328	2066
137	328	2054
138	329	2042
139	330	2030
140	331	2018
141	332	2006
142	332	1993
143	333	1982
144	334	1971
